machine_id,timestamp,T_internal_sensor,V_sensor,failure_mode,is_precursor_period,is_final_failure,T_internal_sequence
1,2025-01-01 00:00:00,37.91228820033879,15.0,1,0,0,"[37.55729626631737, 39.448215102665685, 41.209517278784766, 42.32613572028746, 43.10056114865242, 45.05130332614493, 43.663953954295685, 43.08716283488818, 43.89893480571517, 41.66975677777575, 40.044843306296045, 40.57857447391605, 38.189437124007775, 36.740933647052366, 36.17455498949303, 34.126984320672136, 33.952480140822985, 32.55186808176501, 32.91685855414799, 31.494242141392508, 33.677184346525074, 33.63061246607418, 35.38537878137583, 36.80860661919961, 39.0856670862939, 38.91226285430221, 40.85818031161032, 41.82736482718315, 42.46946253693761, 45.66597443421144, 44.19894676848941, 44.15120107513388, 42.57255149402074, 43.59807067581365, 40.82315445662539, 39.59131719263409, 37.82853058892409, 37.88752732109893, 35.58380668126389, 34.41656644327581, 31.93293735165422, 32.15884795831418, 33.22500646769833, 32.1603778081827, 33.08433013088557, 33.11120820865748, 34.635490756179706, 37.312327628052685]"
1,2025-01-01 01:00:00,39.04742593471895,15.0,1,0,0,"[39.0856670862939, 38.91226285430221, 40.85818031161032, 41.82736482718315, 42.46946253693761, 45.66597443421144, 44.19894676848941, 44.15120107513388, 42.57255149402074, 43.59807067581365, 40.82315445662539, 39.59131719263409, 37.82853058892409, 37.88752732109893, 35.58380668126389, 34.41656644327581, 31.93293735165422, 32.15884795831418, 33.22500646769833, 32.1603778081827, 33.08433013088557, 33.11120820865748, 34.635490756179706, 37.312327628052685, 37.91228820033879, 40.829139705678685, 41.26957626642793, 42.20457647704067, 42.67662882173808, 44.34039590217794, 45.33866582432732, 44.05912318306044, 43.606813891254895, 42.40404610298874, 41.601155802735725, 40.24804992478434, 38.21933810435986, 35.79795817664817, 35.99279016848499, 33.55294705848865, 33.870731485490325, 31.61268651404425, 33.27724542530926, 32.20227600257733, 32.654874999599606, 33.3478609245303, 35.352191232348886, 35.88325524022776]"
1,2025-01-01 02:00:00,38.42771778723896,15.0,1,0,0,"[37.91228820033879, 40.829139705678685, 41.26957626642793, 42.20457647704067, 42.67662882173808, 44.34039590217794, 45.33866582432732, 44.05912318306044, 43.606813891254895, 42.40404610298874, 41.601155802735725, 40.24804992478434, 38.21933810435986, 35.79795817664817, 35.99279016848499, 33.55294705848865, 33.870731485490325, 31.61268651404425, 33.27724542530926, 32.20227600257733, 32.654874999599606, 33.3478609245303, 35.352191232348886, 35.88325524022776, 39.04742593471895, 39.33409344156885, 41.6982936649583, 41.363698534717926, 44.6388412667523, 44.21994327151865, 44.4779198619427, 44.14240486192069, 44.52067108516837, 42.92023533533875, 41.20140753857615, 39.86253100315877, 37.10871966475297, 37.5085675038932, 34.765837432844336, 34.02020906296155, 34.934626786440816, 30.82215053184202, 32.78039069230468, 32.35994243765402, 31.98637992860062, 33.6764803743901, 34.69828456486901, 36.10179903881856]"
1,2025-01-01 03:00:00,38.57806716112371,15.0,1,0,0,"[39.04742593471895, 39.33409344156885, 41.6982936649583, 41.363698534717926, 44.6388412667523, 44.21994327151865, 44.4779198619427, 44.14240486192069, 44.52067108516837, 42.92023533533875, 41.20140753857615, 39.86253100315877, 37.10871966475297, 37.5085675038932, 34.765837432844336, 34.02020906296155, 34.934626786440816, 30.82215053184202, 32.78039069230468, 32.35994243765402, 31.98637992860062, 33.6764803743901, 34.69828456486901, 36.10179903881856, 38.42771778723896, 39.3454281865623, 41.20688741319351, 42.46372171729619, 42.53460637360181, 43.69020701137633, 44.08175314222622, 44.075698678160286, 43.49984956194148, 42.69298551897612, 41.30388198021958, 40.08494631201121, 38.01666788593135, 35.677525583334166, 34.85326374013014, 33.53439875636688, 32.26559849641696, 32.04440820644987, 31.709785763857777, 32.12754211886147, 32.43934502399203, 33.25314536695544, 34.214277779541696, 36.9049821928035]"
1,2025-01-01 04:00:00,36.50372691717576,15.0,1,0,0,"[38.42771778723896, 39.3454281865623, 41.20688741319351, 42.46372171729619, 42.53460637360181, 43.69020701137633, 44.08175314222622, 44.075698678160286, 43.49984956194148, 42.69298551897612, 41.30388198021958, 40.08494631201121, 38.01666788593135, 35.677525583334166, 34.85326374013014, 33.53439875636688, 32.26559849641696, 32.04440820644987, 31.709785763857777, 32.12754211886147, 32.43934502399203, 33.25314536695544, 34.214277779541696, 36.9049821928035, 38.57806716112371, 40.10110388126666, 42.06920084181388, 41.343132692939776, 43.89481892122566, 44.03938370056117, 43.323997236918494, 43.9246240400043, 43.32642614999601, 42.35890439399071, 41.31493572957687, 39.31655827761654, 38.45568304887426, 36.53958542449786, 36.38225840509492, 34.92889213801285, 32.68445003473462, 31.9044092431272, 31.44780893770277, 31.89187706117087, 32.21154239584923, 33.368387194710444, 33.64487408773525, 36.93042810431543]"
1,2025-01-01 05:00:00,38.96727510045253,15.0,1,0,0,"[38.57806716112371, 40.10110388126666, 42.06920084181388, 41.343132692939776, 43.89481892122566, 44.03938370056117, 43.323997236918494, 43.9246240400043, 43.32642614999601, 42.35890439399071, 41.31493572957687, 39.31655827761654, 38.45568304887426, 36.53958542449786, 36.38225840509492, 34.92889213801285, 32.68445003473462, 31.9044092431272, 31.44780893770277, 31.89187706117087, 32.21154239584923, 33.368387194710444, 33.64487408773525, 36.93042810431543, 36.50372691717576, 38.89904323923155, 40.96147328233831, 42.28272622563356, 44.27115864057738, 44.66994345863069, 44.78191426346153, 44.44195815544045, 42.88111010178898, 43.57679758424735, 41.16543635252989, 38.43472768964985, 36.68432049053705, 36.533023413678166, 34.82743533955516, 32.17951441320539, 33.49137449340287, 32.75659617751965, 32.39562945619948, 31.777323844727626, 33.67014587526438, 34.5270739718493, 33.88632512900695, 36.75060333057049]"
1,2025-01-01 06:00:00,36.72493195116007,15.0,1,0,0,"[36.50372691717576, 38.89904323923155, 40.96147328233831, 42.28272622563356, 44.27115864057738, 44.66994345863069, 44.78191426346153, 44.44195815544045, 42.88111010178898, 43.57679758424735, 41.16543635252989, 38.43472768964985, 36.68432049053705, 36.533023413678166, 34.82743533955516, 32.17951441320539, 33.49137449340287, 32.75659617751965, 32.39562945619948, 31.777323844727626, 33.67014587526438, 34.5270739718493, 33.88632512900695, 36.75060333057049, 38.96727510045253, 39.00152220517194, 41.32458067155203, 43.33596696012988, 43.68366722203773, 43.83981340028185, 44.39798040665077, 44.83720022241111, 42.90504015200013, 42.88272975324632, 41.51948486356852, 39.65185100712254, 37.4286144798592, 36.12651442770869, 35.86247439979159, 34.539236098245205, 32.44185512280017, 32.092254848103394, 31.640152827211555, 32.288879065433825, 32.417119736516334, 33.504109766901514, 36.06883641478841, 36.462255373260966]"
1,2025-01-01 07:00:00,37.2905900271452,15.0,1,0,0,"[38.96727510045253, 39.00152220517194, 41.32458067155203, 43.33596696012988, 43.68366722203773, 43.83981340028185, 44.39798040665077, 44.83720022241111, 42.90504015200013, 42.88272975324632, 41.51948486356852, 39.65185100712254, 37.4286144798592, 36.12651442770869, 35.86247439979159, 34.539236098245205, 32.44185512280017, 32.092254848103394, 31.640152827211555, 32.288879065433825, 32.417119736516334, 33.504109766901514, 36.06883641478841, 36.462255373260966, 36.72493195116007, 38.05656729437213, 41.53698941695287, 42.932092152004245, 44.40693042490051, 44.13982705698778, 42.93597134064825, 42.90789745435553, 44.09060358203487, 42.91965917098642, 40.67248591476388, 39.65767804091398, 37.28384729428681, 35.6266727582321, 33.990071898591616, 33.680314203633344, 32.70295990242192, 31.99495601314645, 32.20459951488653, 31.43834814996754, 33.1171979250193, 33.978725315034744, 35.352458335513354, 36.56357250044345]"
1,2025-01-01 08:00:00,39.04975219688404,15.0,1,0,0,"[36.72493195116007, 38.05656729437213, 41.53698941695287, 42.932092152004245, 44.40693042490051, 44.13982705698778, 42.93597134064825, 42.90789745435553, 44.09060358203487, 42.91965917098642, 40.67248591476388, 39.65767804091398, 37.28384729428681, 35.6266727582321, 33.990071898591616, 33.680314203633344, 32.70295990242192, 31.99495601314645, 32.20459951488653, 31.43834814996754, 33.1171979250193, 33.978725315034744, 35.352458335513354, 36.56357250044345, 37.2905900271452, 39.3567019008877, 41.769335312271394, 42.47390396243694, 42.94161014666633, 44.16938478237578, 43.79231321266168, 43.23208428680443, 42.50461658717735, 42.06365659061839, 40.17511486869939, 37.78824674022911, 37.324946483624245, 36.67180279099836, 34.21497790677312, 33.19963713775842, 31.30086434461025, 32.341302622807504, 32.36799952880543, 32.53564826229386, 32.89108141792147, 33.530151659103204, 35.015402936740486, 35.67338471246047]"
1,2025-01-01 09:00:00,38.33164300837075,15.0,1,0,0,"[37.2905900271452, 39.3567019008877, 41.769335312271394, 42.47390396243694, 42.94161014666633, 44.16938478237578, 43.79231321266168, 43.23208428680443, 42.50461658717735, 42.06365659061839, 40.17511486869939, 37.78824674022911, 37.324946483624245, 36.67180279099836, 34.21497790677312, 33.19963713775842, 31.30086434461025, 32.341302622807504, 32.36799952880543, 32.53564826229386, 32.89108141792147, 33.530151659103204, 35.015402936740486, 35.67338471246047, 39.04975219688404, 40.5211601843092, 42.45200256859781, 42.2103768581186, 42.302391771787406, 43.87751201017208, 44.64553812098623, 43.66322639198608, 43.27896858879296, 41.31796068413207, 41.19199203692364, 40.10818870007082, 38.02005133998005, 35.326138937357875, 34.72745862355181, 33.713032755739626, 33.6742709478389, 32.55801182193124, 30.48120111051257, 33.36417160589123, 32.322555833272446, 33.68310698642928, 34.10325931963595, 36.17565389678454]"
